INSERT INTO public.rents (rent_date, cust_id, emp_id, return_date, status)
VALUES
    ('2025-01-01', 20236630, 19947586, '2025-01-08', 'Returned'),
    ('2025-01-02', 20232497, 19948035, '2025-01-09', 'Returned'),
    ('2025-01-03', 20236416, 19940242, '2025-01-08', 'Confirmed'),
    ('2025-01-04', 20232743, 19945374, '2025-01-10', 'Returned'),
    ('2025-01-05', 20232968, 19948668, '2025-01-08', 'Confirmed'),
    ('2025-01-06', 20233749, 19947254, '2025-01-12', 'Returned'),
    ('2025-01-07', 20230045, 19948929, '2025-01-13', 'Confirmed'),
    ('2025-01-08', 20233543, 19945449, '2025-01-12', 'Returned'),
    ('2025-01-09', 20235464, 19943816, '2025-01-14', 'Confirmed'),
    ('2025-01-10', 20231245, 19941402, '2025-01-14', 'Draft'),
    ('2025-01-11', 20234819, 19948060, '2025-01-14', 'Confirmed'),
    ('2025-01-12', 20234684, 19946529, '2025-01-19', 'Returned'),
    ('2025-01-13', 20230581, 19945088, '2025-01-16', 'Confirmed'),
    ('2025-01-14', 20238178, 19940654, '2025-01-21', 'Confirmed'),
    ('2025-01-15', 20235146, 19949426, '2025-01-22', 'Confirmed'),
    ('2025-01-16', 20233240, 19944153, '2025-01-21', 'Confirmed'),
    ('2025-01-17', 20230743, 19941079, '2025-01-24', 'Draft'),
    ('2025-01-18', 20237648, 19941416, '2025-01-22', 'Returned'),
    ('2025-01-19', 20236788, 19942461, '2025-01-22', 'Returned'),
    ('2025-01-20', 20231375, 19941112, '2025-01-25', 'Confirmed'),
    ('2025-01-21', 20235369, 19941258, '2025-01-26', 'Returned'),
    ('2025-01-22', 20236773, 19940099, '2025-01-26', 'Returned'),
    ('2025-01-23', 20239166, 19943060, '2025-01-29', 'Draft'),
    ('2025-01-24', 20238802, 19941593, '2025-01-27', 'Draft'),
    ('2025-01-25', 20235445, 19944235, '2025-02-01', 'Draft'),
    ('2025-01-26', 20230311, 19942176, '2025-01-30', 'Draft'),
    ('2025-01-27', 20230528, 19948163, '2025-02-03', 'Confirmed'),
    ('2025-01-28', 20234468, 19943907, '2025-02-03', 'Draft'),
    ('2025-01-29', 20235577, 19945183, '2025-02-05', 'Returned'),
    ('2025-01-30', 20236609, 19941304, '2025-02-03', 'Confirmed'),
    ('2025-01-31', 20234427, 19942153, '2025-02-06', 'Draft'),
    ('2025-02-01', 20235355, 19942372, '2025-02-05', 'Confirmed'),
    ('2025-02-02', 20236013, 19943517, '2025-02-07', 'Confirmed'),
    ('2025-02-03', 20231072, 19944367, '2025-02-07', 'Draft'),
    ('2025-02-04', 20235508, 19948563, '2025-02-08', 'Confirmed'),
    ('2025-02-05', 20232061, 19947056, '2025-02-12', 'Draft'),
    ('2025-02-06', 20234884, 19940965, '2025-02-12', 'Returned'),
    ('2025-02-07', 20232171, 19948055, '2025-02-12', 'Draft'),
    ('2025-02-08', 20239114, 19947296, '2025-02-13', 'Draft'),
    ('2025-02-09', 20230373, 19945004, '2025-02-15', 'Returned'),
    ('2025-02-10', 20237227, 19946588, '2025-02-17', 'Draft'),
    ('2025-02-11', 20233707, 19948439, '2025-02-14', 'Draft'),
    ('2025-02-12', 20232470, 19944154, '2025-02-16', 'Draft'),
    ('2025-02-13', 20232379, 19948120, '2025-02-16', 'Draft'),
    ('2025-02-14', 20230838, 19946946, '2025-02-17', 'Returned'),
    ('2025-02-15', 20234472, 19940192, '2025-02-22', 'Returned'),
    ('2025-02-16', 20230271, 19940283, '2025-02-19', 'Returned'),
    ('2025-02-17', 20235097, 19944604, '2025-02-24', 'Confirmed'),
    ('2025-02-18', 20234771, 19945128, '2025-02-23', 'Returned'),
    ('2025-02-19', 20237007, 19946201, '2025-02-26', 'Returned'),
    ('2025-02-20', 20231627, 19945947, '2025-02-27', 'Confirmed'),
    ('2025-02-21', 20238354, 19949124, '2025-02-24', 'Returned'),
    ('2025-02-22', 20237722, 19948425, '2025-02-28', 'Draft'),
    ('2025-02-23', 20236799, 19948545, '2025-02-27', 'Returned'),
    ('2025-02-24', 20230155, 19947378, '2025-03-03', 'Confirmed'),
    ('2025-02-25', 20230868, 19947966, '2025-02-28', 'Confirmed'),
    ('2025-02-26', 20239546, 19944094, '2025-03-03', 'Returned'),
    ('2025-02-27', 20233880, 19943586, '2025-03-04', 'Confirmed'),
    ('2025-02-28', 20234077, 19948944, '2025-03-03', 'Returned'),
    ('2025-03-01', 20237601, 19947432, '2025-03-07', 'Returned'),
    ('2025-03-02', 20230189, 19948918, '2025-03-09', 'Returned'),
    ('2025-03-03', 20235050, 19943103, '2025-03-08', 'Confirmed'),
    ('2025-03-04', 20230362, 19944682, '2025-03-07', 'Confirmed'),
    ('2025-03-05', 20232866, 19945738, '2025-03-12', 'Draft'),
    ('2025-03-06', 20237800, 19940790, '2025-03-12', 'Confirmed'),
    ('2025-03-07', 20234692, 19941549, '2025-03-11', 'Returned'),
    ('2025-03-08', 20233745, 19943969, '2025-03-13', 'Confirmed'),
    ('2025-03-09', 20235619, 19941154, '2025-03-16', 'Confirmed'),
    ('2025-03-10', 20236832, 19947963, '2025-03-15', 'Confirmed'),
    ('2025-03-11', 20236326, 19942829, '2025-03-15', 'Confirmed'),
    ('2025-03-12', 20235850, 19945594, '2025-03-19', 'Returned'),
    ('2025-03-13', 20236674, 19942383, '2025-03-17', 'Confirmed'),
    ('2025-03-14', 20238927, 19945553, '2025-03-19', 'Confirmed'),
    ('2025-03-15', 20236407, 19943978, '2025-03-19', 'Confirmed'),
